epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,47.076,1.43575,2.85345,1.97321,0.47104,0.27222,0.29419,0.06643,2.77378,3.0866,3.60278,0.000467673,0.000467673,0.000467673
2,89.7729,1.29348,1.8801,1.85857,0.12419,0.42561,0.02107,0.00479,2.83859,99.8038,3.76355,0.000906623,0.000906623,0.000906623
3,132.719,1.35067,1.89963,1.89262,0.1802,0.43889,0.15067,0.04857,2.69043,9.12303,3.31682,0.00130785,0.00130785,0.00130785
4,175.652,1.26897,1.80753,1.8417,0.42987,0.28333,0.31777,0.12302,2.05266,3.87362,2.99549,0.00125923,0.00125923,0.00125923
5,220.368,1.2126,1.72652,1.7657,0.36622,0.33333,0.32809,0.15281,2.16946,2.55699,3.3017,0.00120265,0.00120265,0.00120265
6,265.164,1.17952,1.6666,1.75873,0.45519,0.4624,0.41853,0.22553,1.95978,2.8173,3.1112,0.00114606,0.00114606,0.00114606
7,310.508,1.14487,1.55555,1.72509,0.334,0.55,0.35531,0.13405,1.93482,2.42623,2.7766,0.00108947,0.00108947,0.00108947
8,358.476,1.15769,1.55833,1.72511,0.41409,0.42812,0.36865,0.17752,2.13926,2.26606,2.8798,0.00103288,0.00103288,0.00103288
9,403.059,1.10091,1.41214,1.67848,0.42924,0.46667,0.38484,0.16797,2.15004,2.6343,3.07379,0.000976293,0.000976293,0.000976293
10,446.716,1.0568,1.38195,1.68158,0.58557,0.41995,0.47057,0.23459,1.9492,2.3158,2.82024,0.000919704,0.000919704,0.000919704
11,491.093,1.08033,1.32354,1.65125,0.63868,0.61111,0.63477,0.25306,1.80984,2.02311,2.57772,0.000863116,0.000863116,0.000863116
12,535.004,1.02596,1.28939,1.60559,0.5497,0.47947,0.49423,0.21489,1.97344,2.28628,2.80079,0.000806528,0.000806528,0.000806528
13,578.312,1.04694,1.24758,1.61669,0.57576,0.55337,0.53527,0.24266,1.887,1.93353,2.60779,0.000749939,0.000749939,0.000749939
14,624.791,1.03823,1.25538,1.60908,0.60391,0.48889,0.53156,0.28373,1.79428,1.95714,2.63414,0.000693351,0.000693351,0.000693351
15,667.615,0.95985,1.14876,1.55276,0.82667,0.55,0.64371,0.30718,1.78702,2.06026,2.55941,0.000636762,0.000636762,0.000636762
16,708.77,1.27612,1.2569,1.96933,0.6658,0.54066,0.6185,0.32964,1.75628,1.85212,2.5781,0.000580174,0.000580174,0.000580174
17,751.606,1.16939,1.13221,1.90749,0.69461,0.63889,0.72674,0.36591,1.77982,1.71874,2.54097,0.000523586,0.000523586,0.000523586
18,793.756,1.11575,1.04125,1.85742,0.74841,0.70317,0.74241,0.40296,1.85102,1.39578,2.56493,0.000466997,0.000466997,0.000466997
19,833.638,1.11873,0.96162,1.83068,0.75633,0.69444,0.78508,0.39677,1.68699,1.32352,2.40328,0.000410409,0.000410409,0.000410409
20,873.322,1.06061,0.92184,1.76583,0.82613,0.56438,0.7167,0.39851,1.56299,1.59145,2.32673,0.00035382,0.00035382,0.00035382
21,914.142,1.02251,0.90209,1.75457,0.83736,0.70474,0.7877,0.40938,1.55427,1.23225,2.3153,0.000297232,0.000297232,0.000297232
22,954.892,1.00393,0.83987,1.71915,0.86396,0.71505,0.83034,0.4703,1.54325,1.20513,2.28861,0.000240644,0.000240644,0.000240644
23,994.738,1.00234,0.82012,1.74044,0.91804,0.83889,0.8903,0.49029,1.60183,1.16749,2.31839,0.000184055,0.000184055,0.000184055
24,1038.19,0.98604,0.79467,1.68963,0.90862,0.82222,0.89322,0.48835,1.56973,1.02875,2.31807,0.000127467,0.000127467,0.000127467
25,1081.3,0.96684,0.75494,1.68228,0.87854,0.83132,0.88597,0.49384,1.50434,1.13638,2.23639,7.08784e-05,7.08784e-05,7.08784e-05
