epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,601.245,1.67415,2.46158,1.61695,0.36263,0.38556,0.30735,0.12094,2.15093,3.94115,2.04344,0.000552614,0.000552614,0.000552614
2,1198.15,1.71575,1.84169,1.64937,0.4188,0.37005,0.31846,0.12813,2.08098,5.67696,2.00333,0.00106439,0.00106439,0.00106439
3,1785.58,1.72096,1.86108,1.65485,0.34269,0.40224,0.29607,0.12285,1.9758,4.55766,1.86844,0.00153216,0.00153216,0.00153216
4,486.881,1.69455,1.8024,1.6304,0.50422,0.4383,0.41146,0.18681,1.93102,2.7229,1.8474,0.00146896,0.00146896,0.00146896
5,962.887,1.63935,1.6737,1.59131,0.50706,0.42824,0.43527,0.19123,1.99792,1.99307,1.8299,0.00140295,0.00140295,0.00140295
6,1442.77,1.58904,1.5843,1.55697,0.57191,0.52459,0.54709,0.25891,1.79174,2.05398,1.72726,0.00133693,0.00133693,0.00133693
7,1922.84,1.5677,1.52486,1.53857,0.57589,0.50006,0.53247,0.24871,1.73587,1.74684,1.66007,0.00127092,0.00127092,0.00127092
8,2411.38,1.54388,1.48817,1.51314,0.62462,0.53905,0.58003,0.2925,1.7048,1.71431,1.64177,0.00120491,0.00120491,0.00120491
9,2899.08,1.51166,1.4158,1.49389,0.6386,0.56151,0.60248,0.30079,1.72157,1.5751,1.67236,0.00113889,0.00113889,0.00113889
10,3393.32,1.49549,1.39548,1.48541,0.63771,0.57693,0.62477,0.32487,1.6332,1.50865,1.59502,0.00107288,0.00107288,0.00107288
11,10734.8,1.4739,1.35714,1.47315,0.64139,0.55304,0.60392,0.31971,1.66853,1.54476,1.58651,0.00100687,0.00100687,0.00100687
12,11236.6,1.46007,1.32959,1.46218,0.66811,0.60596,0.66847,0.35869,1.56993,1.34554,1.51973,0.000940855,0.000940855,0.000940855
13,11728.5,1.431,1.28323,1.43544,0.68523,0.61332,0.67923,0.35615,1.6119,1.38637,1.54931,0.000874842,0.000874842,0.000874842
14,12217.7,1.42013,1.26723,1.43003,0.67183,0.61978,0.67718,0.36915,1.57171,1.32109,1.52692,0.000808828,0.000808828,0.000808828
15,12713,1.41056,1.24008,1.42096,0.69856,0.63923,0.70848,0.38715,1.539,1.25984,1.51003,0.000742815,0.000742815,0.000742815
16,13147.6,1.48266,1.24608,1.49291,0.70218,0.65177,0.70761,0.38776,1.55544,1.24664,1.51979,0.000676802,0.000676802,0.000676802
17,13578.4,1.46272,1.18685,1.47286,0.71804,0.65393,0.71734,0.39375,1.56232,1.24765,1.52522,0.000610789,0.000610789,0.000610789
18,14011.5,1.43059,1.16465,1.44788,0.73088,0.65936,0.73188,0.41,1.52553,1.18308,1.49802,0.000544776,0.000544776,0.000544776
19,14442.7,1.41559,1.11013,1.4448,0.72574,0.66306,0.73948,0.41597,1.5212,1.16307,1.48331,0.000478762,0.000478762,0.000478762
20,14875.2,1.39395,1.06865,1.42336,0.73683,0.67974,0.74211,0.41907,1.50623,1.1453,1.48351,0.000412749,0.000412749,0.000412749
21,15305.5,1.37076,1.03469,1.40239,0.73594,0.6835,0.74689,0.42414,1.49581,1.13768,1.46843,0.000346736,0.000346736,0.000346736
22,15735.7,1.34588,1.00088,1.38382,0.73671,0.68237,0.75389,0.43365,1.48601,1.11842,1.46245,0.000280723,0.000280723,0.000280723
23,16168.9,1.32433,0.98054,1.37557,0.74715,0.68915,0.75873,0.43971,1.48107,1.08924,1.46193,0.00021471,0.00021471,0.00021471
24,16602.9,1.3091,0.94254,1.35889,0.77103,0.69007,0.76667,0.44764,1.46593,1.05107,1.44657,0.000148696,0.000148696,0.000148696
25,17034.5,1.27864,0.90709,1.34304,0.75447,0.70429,0.77278,0.4532,1.46331,1.0434,1.4431,8.26832e-05,8.26832e-05,8.26832e-05
